lag_1,lag_2,lag_3,return_1d,ma_5,ma_10,target
117.57,118.32,117.15,-0.013183635281109107,116.95,117.076,1
116.02,117.57,118.32,0.01068781244613004,117.26399999999998,116.929,0
117.26,116.02,117.57,-0.0009380863039399889,117.26399999999998,116.87199999999999,0
117.15,117.26,116.02,-0.0034997865983782406,116.94800000000001,116.827,1
116.74,117.15,117.26,0.007452458454685562,116.95599999999999,117.029,0
117.61,116.74,117.15,-0.003060964203724148,117.202,117.076,1
117.25,117.61,116.74,0.0013646055437099847,117.23200000000001,117.248,1
117.41,117.25,117.61,0.005791670215484324,117.42,117.34200000000001,0
118.09,117.41,117.25,-0.00033872470149887146,117.68199999999999,117.31499999999998,1
118.05,118.09,117.41,0.0005929690808978982,117.78399999999999,117.37,0
118.12,118.05,118.09,-0.003132407720961794,117.88399999999999,117.543,0
117.75,118.12,118.05,-0.007473460721868275,117.776,117.50399999999999,1
116.87,117.75,118.12,0.009497732523316538,117.75399999999999,117.58699999999999,0
117.98,116.87,117.75,-0.0014409221902017544,117.70599999999999,117.694,0
117.81,117.98,116.87,-0.0004244121891180397,117.63400000000001,117.70899999999999,1
117.76,117.81,117.98,0.009425951086956541,117.85800000000002,117.87100000000001,0
118.87,117.76,117.81,-0.0008412551526878476,118.23800000000001,118.00700000000002,0
118.77,118.87,117.76,-0.0006567314978530581,118.38040000000001,118.0672,1
118.692,118.77,118.87,0.0031847133757962887,118.6324,118.1692,1
119.07,118.692,118.77,0.0012597631645250296,118.92439999999999,118.27919999999999,0
119.22,119.07,118.692,-0.0008387854386847637,118.97439999999999,118.41619999999998,1
119.12,119.22,119.07,0.0014271323035595085,119.07840000000002,118.65820000000001,0
119.29,119.12,119.22,-0.0024310503814234385,119.14000000000001,118.76020000000001,1
119.0,119.29,119.12,0.0019327731092437794,119.172,118.90220000000002,1
119.23,119.0,119.29,0.004445189968967478,119.28,119.10220000000001,0
119.76,119.23,119.0,-0.006763527054108209,119.24600000000001,119.11019999999999,0
118.95,119.76,119.23,-0.004203446826397617,119.07800000000002,119.0782,0
118.45,118.95,119.76,-0.0016884761502744539,118.92800000000003,119.03399999999999,1
118.25,118.45,118.95,0.003467230443974678,118.81400000000001,118.99300000000001,0
118.66,118.25,118.45,-0.0007584695769425887,118.576,118.928,0
118.57,118.66,118.25,-0.0007590452897021649,118.482,118.864,1
118.48,118.57,118.66,0.0016880486158001862,118.52799999999999,118.803,1
118.68,118.48,118.57,0.007162116616110437,118.78399999999999,118.856,0
119.53,118.68,118.48,-0.0004183050280264222,118.94800000000001,118.881,0
119.48,119.53,118.68,-0.001004352192835678,119.106,118.84099999999998,1
119.36,119.48,119.53,0.003686327077748075,119.37,118.92600000000002,1
119.8,119.36,119.48,0.003005008347245486,119.66600000000001,119.09700000000001,1
120.16,119.8,119.36,0.001664447403462166,119.832,119.30800000000002,0
120.36,120.16,119.8,-0.0007477567298106447,119.98999999999998,119.46900000000001,0
120.27,120.36,120.16,-0.0018292175937474342,120.128,119.617,0
120.05,120.27,120.36,-0.000499791753436063,120.16599999999998,119.768,1
119.99,120.05,120.27,0.001000083340278346,120.15599999999999,119.91099999999999,0
120.11,119.99,120.05,-0.0022479393888934496,120.05199999999999,119.94200000000001,1
119.84,120.11,119.99,0.0029205607476634476,120.03600000000002,120.01299999999999,1
120.19,119.84,120.11,0.0010816207671187072,120.09,120.10900000000001,0
120.32,120.19,119.84,-0.0008311170212765839,120.136,120.15099999999998,1
120.22,120.32,120.19,0.004159041756779169,120.258,120.207,1
120.72,120.22,120.32,0.0047299536116633956,120.5482,120.3001,0
121.291,120.72,120.22,-0.0019045106397012068,120.7222,120.3791,1
121.06,121.291,120.72,0.0033867503717164293,120.95219999999999,120.5211,1
121.47,121.06,121.291,0.0013995225158476288,121.23620000000001,120.68609999999998,0
121.64,121.47,121.06,-0.0009865175928971404,121.3962,120.8271,0
121.52,121.64,121.47,-0.0013331138907175522,121.4096,120.9789,1
121.358,121.52,121.64,0.0033125133901350523,121.54960000000001,121.13590000000002,0
121.76,121.358,121.52,-0.0004927726675427735,121.59559999999999,121.27389999999998,0
121.7,121.76,121.358,-0.0009038619556286376,121.5856,121.41090000000001,0
121.59,121.7,121.76,0.0,121.59960000000001,121.4979,1
121.59,121.59,121.7,0.0013158976889546814,121.678,121.54379999999999,1
121.75,121.59,121.59,0.0031211498973304774,121.752,121.6508,0
122.13,121.75,121.59,-0.0033570785228854705,121.756,121.67580000000001,0
121.72,122.13,121.75,-0.0031219191587249506,121.70599999999999,121.64580000000001,0
121.34,121.72,122.13,-0.0027196307895170913,121.59,121.5948,0
121.01,121.34,121.72,-0.0010742913808776677,121.41599999999998,121.54699999999998,1
